id,same_source
129157,0.5
129158,0.5
129159,0.5
129160,0.5
129161,0.5
129162,0.5
129163,0.5
129164,0.5
129165,0.5
129166,0.5
129167,0.5
129168,0.5
129169,0.5
129170,0.5
129171,0.5
129172,0.5
129173,0.5
129174,0.5
129175,0.5
129176,0.5
129177,0.5
129178,0.5
129179,0.5
129180,0.5
129181,0.5
129182,0.5
129183,0.5
129184,0.5
129185,0.5
129186,0.5
129187,0.5
129188,0.5
129189,0.5
129190,0.5
129191,0.5
129192,0.5
129193,0.5
129194,0.5
129195,0.5
129196,0.5
129197,0.5
129198,0.5
129199,0.5
129200,0.5
129201,0.5
129202,0.5
129203,0.5
129204,0.5
129205,0.5
129206,0.5
129207,0.5
129208,0.5
129209,0.5
129210,0.5
129211,0.5
129212,0.5
129213,0.5
129214,0.5
129215,0.5
129216,0.5
129217,0.5
129218,0.5
129219,0.5
129220,0.5
129221,0.5
129222,0.5
129223,0.5
129224,0.5
129225,0.5
129226,0.5
129227,0.5
129228,0.5
129229,0.5
129230,0.5
129231,0.5
129232,0.5
129233,0.5
129234,0.5
129235,0.5
129236,0.5
129237,0.5
129238,0.5
129239,0.5
129240,0.5
129241,0.5
129242,0.5
129243,0.5
129244,0.5
129245,0.5
129246,0.5
129247,0.5
129248,0.5
129249,0.5
129250,0.5
129251,0.5
129252,0.5
129253,0.5
129254,0.5
129255,0.5
129256,0.5
129257,0.5
129258,0.5
129259,0.5
129260,0.5
129261,0.5
129262,0.5
129263,0.5
129264,0.5
129265,0.5
129266,0.5
129267,0.5
129268,0.5
129269,0.5
129270,0.5
129271,0.5
129272,0.5
129273,0.5
129274,0.5
129275,0.5
129276,0.5
129277,0.5
129278,0.5
129279,0.5
129280,0.5
129281,0.5
129282,0.5
129283,0.5
129284,0.5
129285,0.5
129286,0.5
129287,0.5
129288,0.5
129289,0.5
129290,0.5
129291,0.5
129292,0.5
129293,0.5
129294,0.5
129295,0.5
129296,0.5
129297,0.5
129298,0.5
129299,0.5
129300,0.5
129301,0.5
129302,0.5
129303,0.5
129304,0.5
129305,0.5
129306,0.5
129307,0.5
129308,0.5
129309,0.5
129310,0.5
129311,0.5
129312,0.5
129313,0.5
129314,0.5
129315,0.5
129316,0.5
129317,0.5
129318,0.5
129319,0.5
129320,0.5
129321,0.5
129322,0.5
129323,0.5
129324,0.5
129325,0.5
129326,0.5
129327,0.5
129328,0.5
129329,0.5
129330,0.5
129331,0.5
129332,0.5
129333,0.5
129334,0.5
129335,0.5
129336,0.5
129337,0.5
129338,0.5
129339,0.5
129340,0.5
129341,0.5
129342,0.5
129343,0.5
129344,0.5
129345,0.5
129346,0.5
129347,0.5
129348,0.5
129349,0.5
129350,0.5
129351,0.5
129352,0.5
129353,0.5
129354,0.5
129355,0.5
129356,0.5
129357,0.5
129358,0.5
129359,0.5
129360,0.5
129361,0.5
129362,0.5
129363,0.5
129364,0.5
129365,0.5
129366,0.5
129367,0.5
129368,0.5
129369,0.5
129370,0.5
129371,0.5
129372,0.5
129373,0.5
129374,0.5
129375,0.5
129376,0.5
129377,0.5
129378,0.5
129379,0.5
129380,0.5
129381,0.5
129382,0.5
129383,0.5
129384,0.5
129385,0.5
129386,0.5
129387,0.5
129388,0.5
129389,0.5
129390,0.5
129391,0.5
129392,0.5
129393,0.5
129394,0.5
129395,0.5
129396,0.5
129397,0.5
129398,0.5
129399,0.5
129400,0.5
129401,0.5
129402,0.5
129403,0.5
129404,0.5
129405,0.5
129406,0.5
129407,0.5
129408,0.5
129409,0.5
129410,0.5
129411,0.5
129412,0.5
129413,0.5
129414,0.5
129415,0.5
129416,0.5
129417,0.5
129418,0.5
129419,0.5
129420,0.5
129421,0.5
129422,0.5
129423,0.5
129424,0.5
129425,0.5
129426,0.5
129427,0.5
129428,0.5
129429,0.5
129430,0.5
129431,0.5
129432,0.5
129433,0.5
129434,0.5
129435,0.5
129436,0.5
129437,0.5
129438,0.5
129439,0.5
129440,0.5
129441,0.5
129442,0.5
129443,0.5
129444,0.5
129445,0.5
129446,0.5
129447,0.5
129448,0.5
129449,0.5
129450,0.5
129451,0.5
129452,0.5
129453,0.5
129454,0.5
129455,0.5
129456,0.5
129457,0.5
129458,0.5
129459,0.5
129460,0.5
129461,0.5
129462,0.5
129463,0.5
129464,0.5
129465,0.5
129466,0.5
129467,0.5
129468,0.5
129469,0.5
129470,0.5
129471,0.5
129472,0.5
129473,0.5
129474,0.5
129475,0.5
129476,0.5
129477,0.5
129478,0.5
129479,0.5
129480,0.5
129481,0.5
129482,0.5
129483,0.5
129484,0.5
129485,0.5
129486,0.5
129487,0.5
129488,0.5
129489,0.5
129490,0.5
129491,0.5
129492,0.5
129493,0.5
129494,0.5
129495,0.5
129496,0.5
129497,0.5
129498,0.5
129499,0.5
129500,0.5
129501,0.5
129502,0.5
